,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,Neighborhood,Latitude,Longitude,YearBuilt,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,GFAPerBuilding,GFAPerFloor,GFABuildingRate
2078,Nonresidential COS,Medical Office,SE Seattle Community Health Center,Avenue,98118.0,Southeast,47.56364,-122.28572,1990,Medical Office,36.0,2108861.75,14.7,38352.0,19176.0,0.71105
2092,NonResidential,Small- and Mid-Sized Office,10th Ave.,Avenue,98122.0,East,47.61345,-122.3198,1907,Office,95.0,1046187.625,18.04,36000.0,18000.0,1.0
2095,NonResidential,Mixed Use Property,"Automobili Italiane, Inc.",Avenue,98122.0,East,47.61324,-122.31724,1913,Parking,59.0,1162163.125,26.52,36000.0,36000.0,1.0
2096,NonResidential,Warehouse,LOFT BUILDING,Avenue,98122.0,East,47.61467,-122.31777,1915,Non-Refrigerated Warehouse,38.0,1929851.5,49.18,43200.0,21600.0,1.0
2097,NonResidential,Small- and Mid-Sized Office,Turner,Avenue,98134.0,Greater Duwamish,47.59501,-122.32852,1913,Office,71.0,2912454.75,46.85,53840.0,13460.0,0.76096
2098,NonResidential,Retail Store,Outdoor Emporium,Avenue,98134.0,Greater Duwamish,47.58801,-122.32944,1975,Retail Store,88.0,1164537.75,23.5,43794.0,43794.0,1.0
2099,NonResidential,Warehouse,Old Pipe Building,Avenue,98134.0,Greater Duwamish,47.57466,-122.33089,1968,Non-Refrigerated Warehouse,18.0,2701833.75,78.57,48280.0,48280.0,1.0
2101,NonResidential,Supermarket / Grocery Store,Safeway 0423 - 35th Ave,Avenue,98115.0,Northeast,47.68269,-122.28912,1965,Supermarket/Grocery Store,42.0,8839812.0,219.93,32822.0,32822.0,1.0
2104,NonResidential,Worship Facility,Messiah Lutheran Church,Others,98115.0,Northeast,47.68061,-122.29002,1950,Worship Facility,65.0,809291.8125,34.04,20385.0,10192.5,1.0
2105,NonResidential,Worship Facility,Sand Point Community Church,Street,98115.0,Northeast,47.67984,-122.27739,1946,Worship Facility,53.0,216115.0,1.51,24295.0,24295.0,1.0
2106,NonResidential,Small- and Mid-Sized Office,Hawthorne Hills Professional Center,Street,98105.0,Northeast,47.66888,-122.28333,1967,Office,83.0,620994.3125,4.33,20317.0,10158.5,1.0
2109,NonResidential,Supermarket / Grocery Store,Metropolitan Market,Avenue,98105.0,Northeast,47.66824,-122.28394,1973,Supermarket/Grocery Store,6.0,9851260.0,260.32,24377.0,24377.0,1.0
2115,NonResidential,Supermarket / Grocery Store,OAKTREE PLAZA ASSOC,Avenue,98133.0,Northwest,47.70224,-122.34409,1986,Supermarket/Grocery Store,6.0,6674179.5,158.63,45155.0,45155.0,1.0
2119,NonResidential,Warehouse,Kenyon Industrial Park Building D,Avenue,98108.0,Greater Duwamish,47.5316,-122.333,1966,Non-Refrigerated Warehouse,3.0,2186148.5,41.77,32000.0,32000.0,1.0
2120,NonResidential,Warehouse,Kenyon Industrial Park Building B,Street,98108.0,Greater Duwamish,47.5316,-122.333,1970,Non-Refrigerated Warehouse,15.0,4302455.5,175.53,44000.0,44000.0,1.0
2121,NonResidential,Warehouse,Kenyon Business Park Building A,Avenue,98108.0,Greater Duwamish,47.5316,-122.333,1973,Non-Refrigerated Warehouse,44.0,2771820.5,124.4,36000.0,36000.0,1.0
2124,NonResidential,Warehouse,Cloverdale Business Park Building C,Street,98108.0,Greater Duwamish,47.52549,-122.33064,1979,Non-Refrigerated Warehouse,71.0,2373568.25,59.14,48020.0,48020.0,1.0
2125,NonResidential,Warehouse,Cloverdale Business Park Building E,Street,98108.0,Greater Duwamish,47.52549,-122.33064,1979,Non-Refrigerated Warehouse,55.0,1176342.25,39.05,27420.0,27420.0,1.0
2131,NonResidential,K-12 School,Our Lady of the Lake School,Street,98115.0,Northeast,47.694,-122.28967,1949,K-12 School,71.0,2053956.375,85.15,43645.0,21822.5,1.0
2133,NonResidential,Retail Store,Store #5216_8500 35Th Avenue Ne,Avenue,98115.0,Northeast,47.69066,-122.29023,1952,Retail Store,68.0,1399062.75,21.46,26853.0,26853.0,1.0
2141,NonResidential,Warehouse,Lander Station Business Park,Street,98134.0,Greater Duwamish,47.57881,-122.33273,1992,Non-Refrigerated Warehouse,60.0,1486681.75,26.27,29394.0,29394.0,1.0
2143,NonResidential,Warehouse,A2A LLC,Avenue,98134.0,Greater Duwamish,47.57941,-122.3336,1926,Non-Refrigerated Warehouse,69.0,438557.0,12.17,20400.0,10200.0,1.0
2144,NonResidential,Small- and Mid-Sized Office,2724 1st Avenue South,Avenue,98134.0,Greater Duwamish,47.57893,-122.33374,1926,Office,16.0,903541.875,6.3,20460.0,20460.0,1.0
2146,NonResidential,Refrigerated Warehouse,bnr corporation,Avenue,98134.0,Greater Duwamish,47.58217,-122.33263,1955,Refrigerated Warehouse,45.0,1074350.375,7.49,21870.0,10935.0,1.0
2148,NonResidential,Medical Office,Navos Psychiatric Hospital,Street,98126.0,Delridge,47.53419,-122.36624,1970,Medical Office,89.0,3133849.5,106.35,43615.0,43615.0,1.0
2149,NonResidential,Small- and Mid-Sized Office,Navos Erlick Perez,Street,98126.0,Delridge,47.53419,-122.36624,1970,Office,26.0,1144267.5,7.98,36879.0,12293.0,1.0
2151,NonResidential,Warehouse,20731-West Seattle / Delridge Way SW,Way,98106.0,Delridge,47.53846,-122.36175,1982,Non-Refrigerated Warehouse,80.0,308400.4063,2.15,36600.0,18300.0,1.0
2159,NonResidential,Warehouse,Tri-North,Avenue,98134.0,Greater Duwamish,47.55718,-122.33288,1941,Non-Refrigerated Warehouse,49.0,2100216.5,61.6,48890.0,48890.0,1.0
2160,NonResidential,Small- and Mid-Sized Office,UFCW21 Building,Avenue,98134.0,Greater Duwamish,47.55658,-122.33322,2000,Office,3.0,4416909.5,30.79,43473.0,14491.0,1.0
2162,NonResidential,Retail Store,Westwood Village - Building E,Street,98126.0,Delridge,47.52254,-122.36627,1990,Retail Store,19.0,3740373.75,35.48,40265.0,40265.0,1.0
2163,NonResidential,Retail Store,Westwood Village - Building F,Street,98126.0,Delridge,47.52254,-122.36627,2005,Retail Store,79.0,1608884.25,37.61,26208.0,26208.0,1.0
2168,NonResidential,Small- and Mid-Sized Office,Fobes Building - 558,Avenue,98104.0,Downtown,47.59657,-122.33394,1910,Office,92.0,796042.375,11.44,32250.0,6450.0,1.0
2170,NonResidential,Retail Store,(ID24653) Greenwood Shopping Center,Street,98103.0,Northwest,47.69061,-122.35731,1953,Retail Store,95.0,1298039.875,14.17,51000.0,51000.0,1.0
2185,NonResidential,Small- and Mid-Sized Office,820,Avenue,98134.0,Greater Duwamish,47.59508,-122.33378,1920,Office,80.0,576174.125,4.02,20150.0,10075.0,1.0
2186,NonResidential,Small- and Mid-Sized Office,Fobes Building - 562,Avenue,98104.0,Downtown,47.59639,-122.33368,1909,Office,40.0,1682454.875,11.73,36000.0,5142.857,1.0
2190,NonResidential,Small- and Mid-Sized Office,Guardian Security Systems,Avenue,98134.0,Greater Duwamish,47.58686,-122.33469,1927,Office,90.0,928584.875,9.65,22580.0,22580.0,1.0
2192,NonResidential,Warehouse,Seattle Curtain Mfg Co,Avenue,98122.0,Central,47.60192,-122.31641,1926,Non-Refrigerated Warehouse,18.0,743528.125,33.52,20000.0,20000.0,1.0
2202,NonResidential,Senior Care Community,Aljoya Thornton Place,Street,98133.0,North,47.70178,-122.32352,2009,Senior Care Community,100.0,11019641.0,292.8,244500.0,40750.0,1.0
2207,NonResidential,Retail Store,Grainger Branch 756,Avenue,98134.0,Greater Duwamish,47.55772,-122.33017,1964,Retail Store,69.0,1748644.5,58.36,37247.0,37247.0,1.0
2212,NonResidential,Retail Store,"JG Crown Hill, LLC",Avenue,98117.0,Ballard,47.69274,-122.37602,1993,Retail Store,11.0,3027867.5,77.23,25384.0,25384.0,1.0
2214,NonResidential,Small- and Mid-Sized Office,1943 First Avenue,Avenue,98134.0,Greater Duwamish,47.58462,-122.3347,1910,Office,96.0,1441445.625,10.05,49052.0,16350.667,1.0
2215,NonResidential,Warehouse,Millwork Supply,Avenue,98134.0,Greater Duwamish,47.58318,-122.3347,1900,Non-Refrigerated Warehouse,34.0,586589.1875,25.15,52110.0,26055.0,1.0
2218,NonResidential,Small- and Mid-Sized Office,KR Trigger Building,Avenue,98134.0,Greater Duwamish,47.57529,-122.33475,1923,Office,96.0,771512.6875,14.99,26310.0,26310.0,1.0
2222,NonResidential,Retail Store,(ID24857) EMPIRE CENTER,Way,98118.0,Southeast,47.54723,-122.28455,1966,Retail Store,88.0,12434593.0,413.1,37883.0,37883.0,1.0
2225,NonResidential,K-12 School,Our Lady of Guadalupe School,Street,98126.0,Delridge,47.53887,-122.37564,1962,K-12 School,95.0,1274049.75,54.27,29874.0,9958.0,1.0
2227,NonResidential,Worship Facility,Magnolia,Avenue,98199.0,Magnolia / Queen Anne,47.64,-122.39743,1965,Worship Facility,35.0,992794.6875,47.08,20140.0,20140.0,1.0
2231,NonResidential,Small- and Mid-Sized Office,RCC,Avenue,98144.0,Central,47.60104,-122.30155,1971,Office,93.0,1508561.875,28.05,39953.0,19976.5,1.0
2234,NonResidential,Retail Store,Promenade North 1,Avenue,98144.0,Central,47.60009,-122.3017,1998,Retail Store,15.0,1676426.5,11.69,21200.0,10600.0,1.0
2235,NonResidential,Supermarket / Grocery Store,Promenade South 1,Street,98144.0,Central,47.59881,-122.30189,1980,Supermarket/Grocery Store,27.0,6058494.0,42.24,30630.0,30630.0,1.0
2236,NonResidential,Retail Store,Promenade South 2,Street,98144.0,Central,47.59881,-122.30189,1980,Retail Store,25.0,1896626.375,13.22,23421.0,11710.5,1.0
2239,SPS-District K-12,K-12 School,Salmon Bay K-8,Street,98117.0,Ballard,47.6763,-122.38051,1931,K-12 School,83.0,5722325.5,256.31,117116.0,39038.667,1.0
2240,NonResidential,Worship Facility,Ballard First Lutheran Church,Street,98117.0,Ballard,47.67628,-122.38238,1928,Worship Facility,66.0,893053.1875,31.54,24120.0,12060.0,1.0
2241,NonResidential,Worship Facility,Trinity United Methodist Church,Avenue,98117.0,Ballard,47.6764,-122.38502,1929,Worship Facility,88.0,1148202.25,51.15,35736.0,11912.0,1.0
2244,NonResidential,Warehouse,24943-60S-E,Street,98134.0,Greater Duwamish,47.57298,-122.33644,1941,Non-Refrigerated Warehouse,10.0,1206165.75,27.75,51050.0,51050.0,1.0
2245,NonResidential,Retail Store,(ID24948) BARGREEN-ELLINGSON,Avenue,98134.0,Greater Duwamish,47.57044,-122.33475,1954,Retail Store,40.0,1302192.875,42.66,21900.0,10950.0,1.0
2246,NonResidential,Distribution Center,3420/3430 E. Marginal Way Whse,Way,98134.0,Greater Duwamish,47.57227,-122.33843,1952,Distribution Center,100.0,150167.7969,1.6,16300.0,16300.0,1.0
2247,NonResidential,Warehouse,3401 Colorado Ave S. Whse,Avenue,98134.0,Greater Duwamish,47.57339,-122.33735,1964,Non-Refrigerated Warehouse,1.0,1386445.375,9.67,33462.0,33462.0,1.0
2254,NonResidential,Warehouse,KLC GROUP LLC,Street,98104.0,Downtown,47.59774,-122.31936,1930,Non-Refrigerated Warehouse,65.0,415364.5938,14.37,23903.0,23903.0,1.0
2270,Campus,K-12 School,O'Dea High School,Avenue,98104.0,East,47.60776,-122.32481,1923,K-12 School,75.0,2177064.75,78.19,46100.0,11525.0,1.0
2278,NonResidential,Worship Facility,Bethel Presbyterian Church,Avenue,98133.0,Northwest,47.70901,-122.35498,1951,Worship Facility,96.0,608755.375,28.78,21936.0,10968.0,1.0
2289,NonResidential,Small- and Mid-Sized Office,EJ and J Pacific,Avenue,98118.0,Southeast,47.56029,-122.2858,1967,Office,55.0,904236.0,6.3,23250.0,11625.0,1.0
2292,NonResidential,Warehouse,McKinstry SEA - 4800 Denver Warehouse,Avenue,98134.0,Greater Duwamish,47.55966,-122.33146,1960,Non-Refrigerated Warehouse,32.0,2794837.0,120.72,30000.0,30000.0,1.0
2314,NonResidential,Mixed Use Property,Olive 8,Way,98101.0,Downtown,47.61376,-122.33445,2009,Multifamily Housing,65.0,26416770.0,449.59,1074552.0,27552.615,0.89566
2328,NonResidential,Small- and Mid-Sized Office,(ID25268) LANDMARK BUILDING,Way,98125.0,North,47.70868,-122.30089,1980,Office,78.0,1027230.875,14.64,23022.0,5755.5,1.0
2331,NonResidential,Warehouse,Pedersens Rentals,Avenue,98134.0,Greater Duwamish,47.56318,-122.32889,1962,Non-Refrigerated Warehouse,12.0,3064039.5,125.59,31569.0,31569.0,1.0
2332,NonResidential,Warehouse,Pedersen Party Rentals,Avenue,98134.0,Greater Duwamish,47.56362,-122.32876,1956,Non-Refrigerated Warehouse,57.0,177812.7969,1.24,22509.0,22509.0,1.0
2333,NonResidential,Warehouse,(ID25278) 4400 BUILDING,Avenue,98134.0,Greater Duwamish,47.56424,-122.32902,1956,Non-Refrigerated Warehouse,75.0,1073156.375,36.82,39984.0,39984.0,1.0
2342,NonResidential,Worship Facility,All Pilgrims Christian Church,Way,98102.0,East,47.62322037,-122.320017,1906,Worship Facility,91.0,719905.1875,27.93,26440.0,26440.0,1.0
2359,NonResidential,K-12 School,Epiphany School,Avenue,98122.0,Central,47.61791,-122.28594,2009,K-12 School,92.0,1162561.125,28.64,7125.0,14250.0,1.0
2383,NonResidential,Small- and Mid-Sized Office,1848 Building,Avenue,98109.0,Lake Union,47.63614,-122.33982,1949,Office,77.0,840549.375,5.86,23355.0,7785.0,1.0
2384,NonResidential,Small- and Mid-Sized Office,Waterworks Offices + Marina,Avenue,98109.0,Magnolia / Queen Anne,47.63575,-122.33895,1965,Office,30.0,3542708.5,101.21,30840.0,7710.0,1.0
2392,NonResidential,Worship Facility,St. Therese Parish,Others,98122.0,Central,47.61118,-122.288,1900,Worship Facility,100.0,317794.4063,13.09,21850.0,21850.0,1.0
2403,NonResidential,Hotel,Pioneer Square Hotel,Way,98104.0,Downtown,47.60154,-122.3352,1914,Hotel,77.0,2799595.0,122.0,45500.0,11375.0,1.0
2413,NonResidential,Warehouse,1109 N NORTHLAKE WAY,Way,98103.0,Lake Union,47.64793,-122.34358,1938,Non-Refrigerated Warehouse,27.0,466672.6875,3.25,23050.0,23050.0,1.0
2415,NonResidential,Retail Store,PETCO,Street,98105.0,Northeast,47.66097,-122.3192,1930,Retail Store,82.0,1582655.875,20.66,46059.0,46059.0,1.0
2432,NonResidential,Medical Office,Seattle Healing Arts,Avenue,98115.0,Northeast,47.67437,-122.3181,1970,Medical Office,72.0,817409.625,6.53,23595.0,11797.5,1.0
2438,NonResidential,Small- and Mid-Sized Office,Herman Blumenthal Building,Others,98104.0,Downtown,47.59938,-122.33328,1900,Office,96.0,847097.8125,34.08,28142.0,9380.667,1.0
2440,NonResidential,Small- and Mid-Sized Office,Union Trust Building,Street,98104.0,Downtown,47.59979,-122.33318,1902,Office,99.0,713326.875,13.69,39030.0,9757.5,1.0
2441,NonResidential,Small- and Mid-Sized Office,Buttnick City Loan,Avenue,98104.0,Downtown,47.60071,-122.33377,1909,Office,58.0,2092696.0,63.81,47215.0,15738.333,1.0
2447,NonResidential,Retail Store,Capital Hill,Avenue,98122.0,East,47.61478,-122.31847,1916,Retail Store,100.0,336745.4063,2.35,36940.0,18470.0,1.0
2449,NonResidential,Retail Store,The Ford Building,Avenue,98122.0,East,47.61466,-122.31984,1920,Retail Store,78.0,1264626.875,18.19,30240.0,30240.0,1.0
2460,NonResidential,Small- and Mid-Sized Office,International Building,Street,98104.0,Downtown,47.59644,-122.32415,1979,Office,2.0,3605755.5,25.14,35202.0,11734.0,1.0
2467,NonResidential,Senior Care Community,FAERLAND TERRACE,Avenue,98101.0,East,47.61318,-122.32747,1969,Senior Care Community,1.0,7202141.5,183.79,95117.0,15852.833,0.72579
2469,NonResidential,Worship Facility,(ID25743) FIRST COVENANT CHURCH,Street,98122.0,East,47.61426,-122.32661,1910,Worship Facility,69.0,331059.5,5.66,24600.0,12300.0,1.0
2482,NonResidential,Hospital,Park West Skilled Nursing,Avenue,98116.0,Southwest,47.58767,-122.38672,1961,Hospital (General Medical & Surgical),100.0,2037720.625,14.21,54863.0,18287.667,1.0
2492,NonResidential,Small- and Mid-Sized Office,Pine Building,Street,98122.0,East,47.61543,-122.32657,1917,Office,94.0,1031667.5,17.41,27544.0,9181.333,1.0
2514,NonResidential,Supermarket / Grocery Store,Safeway 1551 - E John St,Street,98112.0,East,47.62048,-122.31386,1998,Supermarket/Grocery Store,17.0,14585813.0,393.07,44739.0,44739.0,1.0
2519,NonResidential,Worship Facility,Philadelphia church,Avenue,98117.0,Ballard,47.68517,-122.38733,1956,Worship Facility,20.0,866806.0,37.28,21562.0,10781.0,1.0
2524,NonResidential,Senior Care Community,Park Shore Senior Living,Avenue,98112.0,East,47.63429,-122.27652,1963,Senior Care Community,51.0,20628680.0,792.6,153312.0,9582.0,1.0
2530,NonResidential,Mixed Use Property,2201 / Enso Condominiums - SEDO,Avenue,98121.0,Downtown,47.61811,-122.33908,2009,Office,87.0,27684480.0,393.29,1206670.0,63508.947,0.83272
2535,NonResidential,Worship Facility,IGLESIA NI CRISTO,Avenue,98118.0,Southeast,47.53857,-122.28026,1968,Worship Facility,73.0,826488.6875,22.38,24200.0,24200.0,1.0
2559,NonResidential,K-12 School,Christ the King Middle School,Others,98133.0,Northwest,47.71387,-122.3535,1938,K-12 School,62.0,1219863.125,55.06,23222.0,11611.0,1.0
2567,NonResidential,K-12 School,Northwest School,Avenue,98122.0,East,47.61339,-122.32594,1904,K-12 School,52.0,3625407.5,121.63,60000.0,20000.0,1.0
2575,NonResidential,Other,Salal Credit Union,Avenue,98109.0,Magnolia / Queen Anne,47.63303,-122.34268,1980,Bank Branch,61.0,1440554.25,10.04,30408.0,10136.0,1.0
2579,NonResidential,Small- and Mid-Sized Office,McHugh,Avenue,98109.0,Magnolia / Queen Anne,47.63439,-122.34078,1920,Office,89.0,1465795.75,34.03,30109.0,10036.333,1.0
2583,NonResidential,Small- and Mid-Sized Office,Queen Anne Evangelical Lutheran Church,Avenue,98119.0,Magnolia / Queen Anne,47.63985,-122.36712,1960,Office,92.0,917100.3125,38.59,25481.0,12740.5,1.0
2584,NonResidential,Senior Care Community,Caroline Kline Galland Home,Avenue,98118.0,Southeast,47.53515,-122.26556,1967,Senior Care Community,76.0,19423344.0,717.93,141297.0,141297.0,1.0
2593,NonResidential,Small- and Mid-Sized Office,Supply Laundry Building,Street,98109.0,Lake Union,47.62298,-122.33082,1912,Office,73.0,2119806.25,35.99,27788.0,13894.0,1.0
2603,NonResidential,Hotel,Comfort Inn and Suites,Avenue,98133.0,Northwest,47.729,-122.34473,1990,Hotel,73.0,1943899.25,58.52,41704.0,10426.0,0.79417
2606,NonResidential,Warehouse,101 S. Dakota,Others,98134.0,Greater Duwamish,47.56683,-122.33358,1941,Non-Refrigerated Warehouse,53.0,588856.125,22.33,22324.0,11162.0,1.0
2614,NonResidential,Small- and Mid-Sized Office,1605 Boylston,Street,98122.0,East,47.61545,-122.3238,1922,Office,84.0,1072151.375,12.57,27600.0,9200.0,1.0
2623,NonResidential,Senior Care Community,Columbia Lutheran Home,Avenue,98103.0,Northwest,47.66312,-122.35311,1961,Senior Care Community,98.0,6135173.0,203.21,55974.0,27987.0,1.0
2628,NonResidential,Senior Care Community,Saint Anne Nursing and Rehab Center,Street,98125.0,North,47.70883,-122.28887,1954,Senior Care Community,95.0,1981360.0,70.92,22583.0,22583.0,1.0
2631,NonResidential,Small- and Mid-Sized Office,Solid Ground,Street,98103.0,Lake Union,47.66117,-122.3391,1997,Office,35.0,2305643.5,16.07,31686.0,10562.0,0.76778
2632,NonResidential,Small- and Mid-Sized Office,Lake Union Place,Street,98103.0,Lake Union,47.6483,-122.33438,1981,Office,92.0,720170.6875,5.02,26694.0,8898.0,0.77396
2636,NonResidential,Warehouse,Hansen Bros.,Avenue,98133.0,Northwest,47.70833,-122.34429,1972,Non-Refrigerated Warehouse,69.0,227509.5,1.59,29400.0,29400.0,1.0
2637,NonResidential,Hotel,Georgetown Inn,Avenue,98108.0,Greater Duwamish,47.54774,-122.32091,1992,Hotel,85.0,1244150.0,41.88,22452.0,7484.0,1.0
2642,NonResidential,Other,192741-University,Way,98105.0,Northeast,47.66148,-122.31279,1912,Bank Branch,22.0,1581352.75,11.02,25767.0,12883.5,1.0
2643,NonResidential,Retail Store,4518 University,Way,98105.0,Northeast,47.66188,-122.31279,1953,Retail Store,75.0,1822834.25,38.21,33910.0,8477.5,1.0
2654,NonResidential,Warehouse,Mariner Square LLC,Way,98103.0,Lake Union,47.64748,-122.33435,1979,Non-Refrigerated Warehouse,38.0,4103800.75,48.13,78716.0,39358.0,1.0
2655,NonResidential,K-12 School,St. Benedict School,Avenue,98103.0,Lake Union,47.66389,-122.33692,1910,K-12 School,92.0,1594733.625,69.2,33300.0,16650.0,1.0
2656,NonResidential,Supermarket / Grocery Store,70500869 -- Wallingford,Street,98103.0,Lake Union,47.66185,-122.33594,1957,Supermarket/Grocery Store,29.0,9232576.0,226.73,28808.0,28808.0,1.0
2667,NonResidential,Small- and Mid-Sized Office,4701 University Way Bldg,Way,98105.0,Northeast,47.66345,-122.3134,1957,Office,58.0,1100499.75,7.67,27966.0,27966.0,0.74955
2668,NonResidential,Supermarket / Grocery Store,Safeway 3091 - Brooklyn Ave,Avenue,98105.0,Northeast,47.66429,-122.31389,1950,Supermarket/Grocery Store,37.0,7588060.5,156.18,26226.0,26226.0,1.0
2671,NonResidential,Mixed Use Property,2967-University District,Street,98105.0,Northeast,47.6616,-122.31393,1976,Bank Branch,17.0,1159807.125,8.09,34948.0,17474.0,0.54919
2684,NonResidential,Small- and Mid-Sized Office,W0164 Washington Building,Street,98104.0,Downtown,47.6011,-122.33197,1900,Office,94.0,683274.0,4.76,20880.0,20880.0,1.0
2691,NonResidential,Medical Office,Rainier Beach Medical & Dental Clinic,Avenue,98118.0,Southeast,47.5195,-122.26935,2010,Medical Office,8.0,1941728.75,19.81,25880.0,12940.0,1.0
2699,NonResidential,Worship Facility,Calvary Christian Assembly,Way,98133.0,Northeast,47.67842,-122.31949,1950,Worship Facility,83.0,1544995.75,47.03,46485.0,15495.0,1.0
2704,NonResidential,Small- and Mid-Sized Office,(ID#26681) RAVENNA OFFICE BLDG,Avenue,98115.0,Northwest,47.67819,-122.3231,1965,Office,96.0,1402048.5,28.46,56896.0,14224.0,1.0
2706,NonResidential,Worship Facility,Church in Seattle,Avenue,98115.0,Northwest,47.67783,-122.32577,1978,Worship Facility,60.0,577123.125,14.79,27500.0,13750.0,1.0
2707,NonResidential,Small- and Mid-Sized Office,Graybar Building,Avenue,98104.0,Downtown,47.59856,-122.33248,1930,Office,90.0,541943.3125,3.78,36630.0,18315.0,1.0
2709,NonResidential,Small- and Mid-Sized Office,Mottman Building,Avenue,98104.0,Downtown,47.59971,-122.33065,1906,Office,95.0,1103594.75,7.69,41920.0,8384.0,1.0
2710,NonResidential,Small- and Mid-Sized Office,Masin Building 1,Avenue,98104.0,Downtown,47.60048,-122.33157,1905,Office,92.0,1537570.25,26.94,36879.0,7375.8,1.0
2715,NonResidential,Small- and Mid-Sized Office,220_3rd_ave_s_03262013,Avenue,98104.0,Downtown,47.60026,-122.3299,1905,Office,70.0,1078535.75,7.52,33640.0,16820.0,1.0
2716,NonResidential,Warehouse,Seattle Lighting Fixture,Avenue,98104.0,Downtown,47.59986,-122.32987,1906,Non-Refrigerated Warehouse,18.0,1567040.75,10.92,43484.0,10871.0,1.0
2721,NonResidential,Hotel,American Hotel,Street,98104.0,Downtown,47.5985,-122.32677,1925,Hotel,49.0,4857581.5,173.67,33018.0,8254.5,1.0
2723,NonResidential,Small- and Mid-Sized Office,Dearborn Bldg.,Others,98134.0,Downtown,47.5962,-122.32548,1970,Office,91.0,987063.6875,11.18,26510.0,13255.0,1.0
2737,NonResidential,Warehouse,Dunn Lumber Retail/Offices,Others,98105.0,Lake Union,47.65429,-122.32618,1938,Non-Refrigerated Warehouse,80.0,942415.1875,6.76,40028.0,40028.0,1.0
2738,NonResidential,Small- and Mid-Sized Office,North Lake Office Bldg.,Way,98105.0,Lake Union,47.65373,-122.32721,2007,Office,23.0,2188051.25,15.25,44510.0,14836.667,0.59047
2739,NonResidential,Worship Facility,Lake City Presbyterian Church,Street,98125.0,North,47.71705,-122.28577,1954,Worship Facility,90.0,666687.5,20.96,21624.0,21624.0,1.0
2751,NonResidential,Hotel,Panama Hotel,Street,98104.0,Downtown,47.59983,-122.32598,1910,Hotel,99.0,1200180.875,53.25,40552.0,8110.4,1.0
2761,NonResidential,Retail Store,C & T BLDG,Street,98104.0,Downtown,47.59935,-122.32468,1917,Retail Store,100.0,977230.3125,6.73,24550.0,12275.0,1.0
2775,NonResidential,Residence Hall,4503,Avenue,98105.0,Northeast,47.6617,-122.31007,1929,Residence Hall/Dormitory,82.0,637685.0,4.45,22124.0,7374.667,1.0
2778,NonResidential,Residence Hall,Chi Omega Fraternity of Washington,Avenue,98105.0,Northeast,47.66289,-122.30863,1926,Residence Hall/Dormitory,82.0,1594504.875,65.95,27487.0,9162.333,1.0
2779,NonResidential,Residence Hall,Sigma Chi Fraternity,Avenue,98105.0,Northeast,47.66164,-122.30874,1926,Residence Hall/Dormitory,55.0,1656420.25,53.65,23616.0,5904.0,1.0
2781,NonResidential,Residence Hall,Upstairs Downstairs Apartments,Avenue,98105.0,Northeast,47.66238,-122.30801,1976,Residence Hall/Dormitory,78.0,998633.5,6.96,33448.0,11149.333,1.0
2783,NonResidential,Senior Care Community,Seattle Keiro,Way,98122.0,Central,47.60133,-122.31088,1987,Senior Care Community,48.0,8268496.5,249.46,74840.0,37420.0,1.0
2785,NonResidential,K-12 School,First Place,Avenue,98122.0,Central,47.6032,-122.30596,1925,K-12 School,40.0,1522596.75,55.23,22344.0,11172.0,1.0
2800,NonResidential,Mixed Use Property,Trader Joes/AAA,Way,98105.0,Northeast,47.66272,-122.31798,1999,Parking,9.0,5652231.0,39.4,32928.0,16464.0,1.0
2803,NonResidential,Warehouse,Northwest Wholesale Florists,Street,98108.0,Greater Duwamish,47.54761,-122.32759,1960,Non-Refrigerated Warehouse,33.0,1368120.5,29.7,44476.0,44476.0,1.0
2804,NonResidential,Small- and Mid-Sized Office,"Pacific Georgetown Center, LLC",Avenue,98108.0,Greater Duwamish,47.54494,-122.32543,1969,Office,66.0,1295485.25,27.06,35017.0,35017.0,1.0
2805,NonResidential,Residence Hall,Alpha Delta Pi Chapter House,Others,98177.0,Northeast,47.66281,-122.30819,1950,Residence Hall/Dormitory,66.0,1632498.625,60.83,29084.0,9694.667,1.0
2815,NonResidential,Worship Facility,Japanese Presbyterian Church,Avenue,98144.0,Southeast,47.58671,-122.30201,1963,Worship Facility,98.0,470666.6875,19.28,22952.0,11476.0,1.0
2829,NonResidential,Warehouse,N W WAREHOUSE,Others,98108.0,Greater Duwamish,47.54443,-122.32688,1976,Non-Refrigerated Warehouse,43.0,592088.125,19.14,21040.0,21040.0,1.0
2830,NonResidential,Warehouse,Cedar Heights,Others,98108.0,Greater Duwamish,47.54491,-122.32758,1951,Non-Refrigerated Warehouse,52.0,1321065.0,46.61,28032.0,14016.0,1.0
2831,NonResidential,Distribution Center,Pacific Rubber Inc,Way,98108.0,Greater Duwamish,47.54333,-122.32792,1974,Distribution Center,82.0,550324.1875,20.46,25620.0,25620.0,1.0
2832,NonResidential,Warehouse,(ID27141) TSUE CHONG BUILDING,Street,98144.0,Downtown,47.59775,-122.32219,1992,Non-Refrigerated Warehouse,14.0,1632472.0,11.38,33238.0,11079.333,1.0
2833,NonResidential,K-12 School,St. James Cathedral Place,Others,98104.0,East,47.60745,-122.32542,1912,K-12 School,8.0,1181428.75,38.36,27800.0,6950.0,1.0
