,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,Neighborhood,Latitude,Longitude,YearBuilt,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,GFAPerBuilding,GFAPerFloor,GFABuildingRate
1596,NonResidential,Small- and Mid-Sized Office,4925 Leary,Avenue,98107.0,Ballard,47.66431,-122.37988,1966,Office,93.0,579888.3125,16.67,22282.0,22282.0,1.0
1607,NonResidential,Small- and Mid-Sized Office,Lake City Professional Center,Street,98125.0,North,47.719,-122.29966,1931,Office,58.0,2235765.5,44.26,37500.0,18750.0,1.0
1609,NonResidential,K-12 School,Bliss Hall,Avenue,98125.0,Northwest,47.73143,-122.32784,1930,K-12 School,61.0,1164364.75,33.28,23983.0,7994.333,1.0
1610,NonResidential,Distribution Center,Jack Warehouse,Way,98106.0,Delridge,47.55832,-122.35239,1980,Distribution Center,22.0,809870.8125,30.49,24100.0,24100.0,1.0
1613,NonResidential,K-12 School,University Child Development School,Avenue,98105.0,Northeast,47.66665,-122.31818,2004,K-12 School,5.0,3846501.25,128.66,10447.667,15671.5,1.0
1621,NonResidential,Small- and Mid-Sized Office,Fishermen's Commerce Building,Avenue,98199.0,Magnolia / Queen Anne,47.65708,-122.38383,1983,Office,64.0,1286817.375,8.97,40571.0,10142.75,0.73259
1622,NonResidential,Small- and Mid-Sized Office,Icicle Seafoods,Avenue,98199.0,Magnolia / Queen Anne,47.65649,-122.38383,1983,Office,78.0,1755788.5,12.24,41707.0,10426.75,0.62455
1624,NonResidential,Warehouse,Keller Supply,Avenue,98119.0,Magnolia / Queen Anne,47.64913,-122.37929,1955,Non-Refrigerated Warehouse,9.0,1700057.375,28.28,39497.0,19748.5,1.0
1637,NonResidential,Small- and Mid-Sized Office,MERIDIAN NORTH OFFICE BUILDING,Avenue,98133.0,Northwest,47.70793,-122.33316,1982,Office,73.0,1211349.25,8.44,27574.0,13787.0,1.0
1643,NonResidential,Senior Care Community,Foundation House at Northgate,Avenue,98125.0,North,47.71069,-122.32674,1998,Senior Care Community,4.0,3936421.5,82.57,43661.0,8732.2,1.0
1648,NonResidential,Small- and Mid-Sized Office,Northgate Meridian Bldg,Way,98133.0,Northwest,47.70842,-122.3332,1987,Office,91.0,2472350.25,17.24,76105.0,25368.333,0.64119
1657,NonResidential,Medical Office,5th Ave Professional Center,Avenue,98125.0,North,47.70676,-122.32264,1988,Medical Office,55.0,1459199.75,33.42,28841.0,9613.667,1.0
1664,NonResidential,K-12 School,Holy Family School,Avenue,98106.0,Delridge,47.51698,-122.35946,1924,K-12 School,92.0,959352.0,42.96,42975.0,21487.5,1.0
1668,NonResidential,Small- and Mid-Sized Office,MMFS Upper Bldg,Avenue,98106.0,Delridge,47.53309,-122.33977,1988,Office,88.0,2619088.5,55.85,30659.0,15329.5,1.0
1671,NonResidential,Medical Office,Meridian Center for Health,Avenue,98133.0,Northwest,47.70558,-122.33486,1979,Medical Office,81.0,1633105.375,11.39,34759.0,17379.5,1.0
1672,NonResidential,Hospital,Main Hospital - All Wings,Others,98133.0,Northwest,47.71425,-122.33689,1966,Hospital (General Medical & Surgical),85.0,98960776.0,3278.11,51954.0,415632.0,1.0
1678,NonResidential,Supermarket / Grocery Store,Red Apple Market,Avenue,98144.0,Greater Duwamish,47.57894,-122.31287,1965,Supermarket/Grocery Store,16.0,5833800.0,129.89,21603.0,21603.0,1.0
1690,NonResidential,Medical Office,Central Campus,Avenue,98112.0,East,47.62014,-122.31228,1964,Medical Office,60.0,102673696.0,3238.24,591981.0,197327.0,1.0
1691,NonResidential,Distribution Center,Intermountain Supply,Avenue,98108.0,Delridge,47.53158,-122.33568,1979,Distribution Center,53.0,436252.5,3.04,42900.0,42900.0,1.0
1698,NonResidential,Warehouse,KOF Associates,Street,98144.0,Downtown,47.59783,-122.31554,1956,Non-Refrigerated Warehouse,92.0,313528.0938,2.19,25840.0,12920.0,1.0
1701,NonResidential,Small- and Mid-Sized Office,The Weller Building,Street,98144.0,Downtown,47.59728,-122.31587,2001,Office,89.0,1981115.25,19.12,70332.0,14066.4,0.68585
1726,NonResidential,Supermarket / Grocery Store,Safeway 1143 - 15th Ave,Avenue,98117.0,Ballard,47.6899,-122.37619,1994,Supermarket/Grocery Store,22.0,12250422.0,326.74,45522.0,45522.0,1.0
1733,NonResidential,Small- and Mid-Sized Office,Building F,Way,98134.0,Greater Duwamish,47.56999,-122.34703,1997,Office,57.0,2826828.0,23.6,40657.0,20328.5,1.0
1745,NonResidential,Residence Hall,St. James Cathedral & Rectory,Avenue,98104.0,East,47.6073,-122.32585,1904,Residence Hall/Dormitory,29.0,3652708.75,184.0,44086.0,44086.0,1.0
1746,NonResidential,Small- and Mid-Sized Office,Pigott Building,Avenue,98104.0,East,47.60663,-122.32526,1970,Office,94.0,1403820.0,9.79,54372.0,7767.429,0.61701
1754,NonResidential,Medical Office,HART First Hill LLC,Street,98104.0,East,47.60862,-122.32372,1945,Medical Office,52.0,25311526.0,1110.07,274568.0,274568.0,1.0
1755,NonResidential,Small- and Mid-Sized Office,Swedish Invex Building,Street,98122.0,East,47.60819,-122.32282,1956,Office,69.0,1245923.75,62.23,21282.0,7094.0,1.0
1762,NonResidential,Small- and Mid-Sized Office,Gateway Plaza,Way,98125.0,North,47.72986,-122.29278,1985,Office,100.0,409578.4063,2.86,33580.0,11193.333,0.61316
1766,NonResidential,Warehouse,Daily Racing Form,Avenue,98165.0,North,47.72051,-122.30103,1977,Non-Refrigerated Warehouse,100.0,113130.0,2.69,21936.0,21936.0,1.0
1778,NonResidential,Small- and Mid-Sized Office,Frye Commerce Center,Street,98103.0,Delridge,47.56877,-122.36369,1988,Office,69.0,3046543.0,21.24,66484.0,33242.0,1.0
1779,NonResidential,Small- and Mid-Sized Office,Swedish Cherry Building,Others,98122.0,East,47.60789,-122.32249,1959,Office,85.0,1356874.75,62.05,25151.0,8383.667,1.0
1780,NonResidential,Hotel,Hotel - The Baroness Hotel,Street,98104.0,East,47.60958,-122.32646,1928,Hotel,56.0,2640980.25,112.34,35770.0,5961.667,1.0
1782,NonResidential,Hotel,Hotel - Inn at Virginia Mason,Street,98101.0,East,47.60981,-122.32687,1928,Hotel,85.0,3239754.0,101.31,48006.0,5334.0,1.0
1785,Nonresidential COS,Small- and Mid-Sized Office,CSC Engineering (A),Street,98134.0,Greater Duwamish,47.5956,-122.32292,1973,Office,34.0,2796425.0,110.66,21315.0,10657.5,1.0
1806,NonResidential,Small- and Mid-Sized Office,18 West Mercer,Street,98119.0,Magnolia / Queen Anne,47.62481,-122.35762,1984,Office,69.0,2190460.0,24.31,57110.0,14277.5,0.72313
1811,NonResidential,Small- and Mid-Sized Office,Diamond Building,Avenue,98121.0,Downtown,47.61833,-122.35871,1979,Office,50.0,1748629.875,22.26,34030.0,11343.333,1.0
1818,NonResidential,Distribution Center,3223,Avenue,98134.0,Greater Duwamish,47.5746,-122.32637,1952,Distribution Center,7.0,1642471.5,38.57,41308.0,41308.0,1.0
1861,NonResidential,Warehouse,"Ocean Beauty Alaska Bldg, LLC",Street,98119.0,Magnolia / Queen Anne,47.65674,-122.37223,1957,Non-Refrigerated Warehouse,12.0,985401.8125,33.8,38255.0,38255.0,1.0
1870,NonResidential,Small- and Mid-Sized Office,Ship Canal,Street,98103.0,Lake Union,47.65103,-122.35541,1989,Office,71.0,2282551.25,59.24,48924.0,16308.0,1.0
1875,NonResidential,Small- and Mid-Sized Office,Areis Building,Avenue,98102.0,Lake Union,47.64168,-122.32562,1959,Office,88.0,1602084.375,11.17,50333.0,12583.25,0.64167
1878,NonResidential,Small- and Mid-Sized Office,2345 Eastlake,Avenue,98102.0,Lake Union,47.64113,-122.32625,2000,Office,73.0,1994967.75,13.91,57132.0,19044.0,0.61654
1884,NonResidential,Worship Facility,The Salvation Army,Avenue,98106.0,Delridge,47.52172,-122.35487,1957,Worship Facility,52.0,968026.3125,26.73,24224.0,12112.0,1.0
1885,NonResidential,Worship Facility,Westood Christian Community,Avenue,98106.0,Delridge,47.51989,-122.35489,1963,Worship Facility,78.0,400770.9063,13.12,23706.0,23706.0,1.0
1893,NonResidential,Supermarket / Grocery Store,Saars Marketplace Foods,Avenue,98118.0,Southeast,47.52262,-122.26922,1959,Supermarket/Grocery Store,97.0,2842819.5,55.86,67450.0,67450.0,1.0
1899,NonResidential,Small- and Mid-Sized Office,1419 Elliott Ave,Avenue,98119.0,Magnolia / Queen Anne,47.63063,-122.37428,1979,Office,100.0,1234095.5,60.57,43016.0,21508.0,0.87447
1901,NonResidential,Small- and Mid-Sized Office,1430-1448 Elliott Ave W,Avenue,98119.0,Magnolia / Queen Anne,47.63128,-122.37387,1940,Office,98.0,638507.125,24.76,20671.0,10335.5,1.0
1903,NonResidential,Warehouse,Tile for Less,Avenue,98134.0,Greater Duwamish,47.58065,-122.33356,1927,Non-Refrigerated Warehouse,57.0,499828.5938,14.36,21600.0,21600.0,1.0
1907,NonResidential,Worship Facility,Hillcrest Presbyterian Church,Avenue,98146.0,Southwest,47.50959,-122.37417,1977,Worship Facility,14.0,866126.375,6.04,35844.0,35844.0,1.0
1908,NonResidential,Small- and Mid-Sized Office,Wallingford Plaza,Street,98103.0,Lake Union,47.66116,-122.34172,1916,Office,85.0,1639136.25,18.87,31774.0,10591.333,1.0
1922,NonResidential,Warehouse,South Seattle Business Park- Bldg A,Way,98134.0,Greater Duwamish,47.56121,-122.33872,1953,Non-Refrigerated Warehouse,19.0,709990.8125,4.95,26094.0,26094.0,1.0
1923,NonResidential,Small- and Mid-Sized Office,South Seattle Business Park - Bldg B,Way,98134.0,Greater Duwamish,47.56121,-122.33872,1983,Office,68.0,1084553.75,7.56,23687.0,11843.5,1.0
1924,NonResidential,Small- and Mid-Sized Office,South Seattle Business Park - Bldg C,Way,98134.0,Greater Duwamish,47.56121,-122.33872,1983,Office,20.0,1435562.75,10.01,24221.0,12110.5,1.0
1925,NonResidential,Mixed Use Property,Pier 56,Way,98101.0,Downtown,47.60546,-122.34091,1900,Office,37.0,5381105.0,37.51,71919.0,35959.5,0.80418
1926,NonResidential,Small- and Mid-Sized Office,Pier 55,Way,98101.0,Downtown,47.60546,-122.34091,1900,Office,54.0,3999505.25,128.41,32027.0,16013.5,1.0
1929,NonResidential,Small- and Mid-Sized Office,Airport Way,Way,98134.0,Greater Duwamish,47.58802,-122.32111,1914,Office,84.0,2018385.75,50.07,34425.0,11475.0,1.0
1934,NonResidential,Medical Office,Swedish Health Services,Avenue,98116.0,Southwest,47.57296,-122.38643,1984,Medical Office,5.0,1961581.5,13.67,40304.0,13434.667,0.70226
1939,NonResidential,Distribution Center,The Long Building,Avenue,98108.0,Greater Duwamish,47.52878,-122.32771,1990,Distribution Center,50.0,1280263.75,42.45,29619.0,29619.0,1.0
1941,NonResidential,K-12 School,St. Mary Giddens School,Avenue,98144.0,Central,47.59692,-122.30601,1922,K-12 School,47.0,1431784.0,54.24,21592.0,10796.0,1.0
1943,NonResidential,K-12 School,St. Catherine School,Avenue,98115.0,North,47.69061,-122.31992,1931,K-12 School,69.0,805643.5,19.51,23923.0,11961.5,1.0
1944,NonResidential,Small- and Mid-Sized Office,ifo and associates,Street,98144.0,Central,47.59976,-122.31441,1907,Office,47.0,1748444.25,37.08,25200.0,8400.0,1.0
1946,NonResidential,Small- and Mid-Sized Office,CJ and J Pacific,Street,98144.0,Central,47.59693,-122.31124,1963,Office,80.0,1328461.25,9.26,28296.0,14148.0,1.0
1949,NonResidential,Small- and Mid-Sized Office,Planned Parenthood Western,Street,98122.0,Central,47.61744,-122.30514,1999,Office,55.0,1965075.625,22.48,31357.0,10452.333,1.0
1950,NonResidential,Distribution Center,80,Street,98134.0,Greater Duwamish,47.55945,-122.33601,1968,Distribution Center,94.0,1157976.5,8.07,160000.0,160000.0,1.0
1951,NonResidential,Warehouse,Prologis Park Seattle 2,Street,98134.0,Greater Duwamish,47.55601,-122.33627,1960,Non-Refrigerated Warehouse,11.0,4590246.5,174.62,53550.0,53550.0,1.0
1952,NonResidential,Warehouse,Messenger Corp,Street,98134.0,Greater Duwamish,47.55716,-122.33744,1924,Non-Refrigerated Warehouse,62.0,1628540.0,67.05,38412.0,38412.0,1.0
1960,NonResidential,Small- and Mid-Sized Office,LONG Building Technologies,Avenue,98108.0,Greater Duwamish,47.55498,-122.32497,1953,Office,98.0,655422.375,19.61,24291.0,24291.0,1.0
1961,NonResidential,Warehouse,NWCP-SEA Bldg D,Street,98108.0,Greater Duwamish,47.55458,-122.32639,1966,Non-Refrigerated Warehouse,5.0,1269847.75,8.85,36544.0,36544.0,1.0
1964,NonResidential,Distribution Center,Terminal Leasing,Way,98134.0,Greater Duwamish,47.5822,-122.321,1947,Distribution Center,70.0,659761.875,17.04,21349.0,21349.0,1.0
1965,NonResidential,Warehouse,Bayview Building,Street,98134.0,Greater Duwamish,47.58082,-122.32031,1936,Non-Refrigerated Warehouse,33.0,416885.5938,2.91,38630.0,38630.0,1.0
1969,Nonresidential COS,Warehouse,Airport Way Ctr - Bldg D,Way,98134.0,Greater Duwamish,47.5829,-122.32417,1985,Non-Refrigerated Warehouse,78.0,764094.5,21.5,22803.0,22803.0,1.0
1971,NonResidential,Refrigerated Warehouse,Pacific Food Importers,Way,98134.0,Greater Duwamish,47.58252,-122.32193,1951,Refrigerated Warehouse,94.0,642645.1875,4.48,41550.0,41550.0,1.0
1974,NonResidential,K-12 School,St. Edward School,Street,98118.0,Southeast,47.55095,-122.27978,1912,K-12 School,49.0,2203758.5,102.35,42252.0,21126.0,1.0
1976,NonResidential,Worship Facility,GRACE APOSTOLIC CHURCH,Way,98118.0,Southeast,47.5419,-122.28302,1981,Worship Facility,96.0,440419.1875,12.92,22895.0,7631.667,1.0
